avg_temp_C,total_precip_m,avg_dewpoint_C,avg_rel_humidity_pct,Year,Quarter,Region
20.183645,0.025925262,16.264658,78.25113,2015,1,COLOMBIA
20.223337,0.039635297,16.911856,81.317665,2015,2,COLOMBIA
20.528269,0.034281135,16.062225,75.62119,2015,3,COLOMBIA
20.41271,0.03187646,16.888306,80.32198,2015,4,COLOMBIA
21.55366,0.024020318,16.89386,74.86672,2016,1,COLOMBIA
20.386911,0.04337963,17.517029,83.63538,2016,2,COLOMBIA
20.095907,0.03837891,16.155151,78.12375,2016,3,COLOMBIA
19.693216,0.040030263,17.163778,85.36295,2016,4,COLOMBIA
19.991953,0.02717172,16.368387,79.77558,2017,1,COLOMBIA
20.194479,0.03760791,17.056631,82.20679,2017,2,COLOMBIA
20.275309,0.034268532,15.919261,76.09978,2017,3,COLOMBIA
19.998758,0.031397343,16.534006,80.542625,2017,4,COLOMBIA
20.313334,0.024190804,15.857697,75.66757,2018,1,COLOMBIA
19.685354,0.042661022,16.890137,83.96525,2018,2,COLOMBIA
20.07962,0.030458815,15.579163,75.390915,2018,3,COLOMBIA
19.992218,0.028548274,16.626444,81.15281,2018,4,COLOMBIA
20.932892,0.02311978,16.377127,75.29817,2019,1,COLOMBIA
20.343496,0.040478,17.290731,82.662964,2019,2,COLOMBIA
20.521677,0.026677612,15.267924,71.91845,2019,3,COLOMBIA
20.108042,0.031020008,16.655935,80.581474,2019,4,COLOMBIA
21.26061,0.017192334,15.628886,70.34107,2020,1,COLOMBIA
20.48529,0.04245588,17.153442,81.23757,2020,2,COLOMBIA
19.962646,0.041807733,16.282614,79.39568,2020,3,COLOMBIA
19.820425,0.03484382,16.606974,81.79351,2020,4,COLOMBIA
20.305237,0.026113428,15.635304,74.65078,2021,1,COLOMBIA
19.748636,0.042164147,17.026052,84.34261,2021,2,COLOMBIA
19.744507,0.04136485,16.217306,80.13542,2021,3,COLOMBIA
19.764841,0.03569778,16.783112,82.97433,2021,4,COLOMBIA
19.884186,0.026230825,16.012075,78.463264,2022,1,COLOMBIA
19.506796,0.044184335,16.940012,85.14152,2022,2,COLOMBIA
19.630808,0.033398192,16.12561,80.239815,2022,3,COLOMBIA
19.329987,0.017035047,16.484314,83.675255,2022,4,COLOMBIA
23.379852,0.017248098,17.984507,72.331535,2015,1,MINAS GERAIS (BRA)
19.781687,0.00497803,15.135549,74.634026,2015,2,MINAS GERAIS (BRA)
21.131327,0.0034071156,12.346974,57.545532,2015,3,MINAS GERAIS (BRA)
24.639303,0.015027884,17.354776,64.99155,2015,4,MINAS GERAIS (BRA)
23.312998,0.021519072,18.99762,76.866394,2016,1,MINAS GERAIS (BRA)
20.608704,0.003132715,14.157298,66.68447,2016,2,MINAS GERAIS (BRA)
21.073568,0.0017074071,11.243459,53.499775,2016,3,MINAS GERAIS (BRA)
22.740213,0.018377049,17.22818,71.333496,2016,4,MINAS GERAIS (BRA)
23.497183,0.012757091,17.881796,70.80302,2017,1,MINAS GERAIS (BRA)
20.521555,0.0031619407,14.581349,68.807304,2017,2,MINAS GERAIS (BRA)
20.006723,0.00094652106,9.279144,50.58668,2017,3,MINAS GERAIS (BRA)
23.126272,0.014965728,16.577942,67.5159,2017,4,MINAS GERAIS (BRA)
23.155996,0.016059805,18.478048,75.058784,2018,1,MINAS GERAIS (BRA)
20.156128,0.0025721227,13.96761,67.666954,2018,2,MINAS GERAIS (BRA)
20.52244,0.0031553516,11.688252,56.993397,2018,3,MINAS GERAIS (BRA)
22.696411,0.019571621,17.796335,74.01315,2018,4,MINAS GERAIS (BRA)
23.805075,0.014472466,18.50769,72.47522,2019,1,MINAS GERAIS (BRA)
20.769247,0.0048464052,15.367198,71.34497,2019,2,MINAS GERAIS (BRA)
20.831644,0.0019855672,10.915456,53.339848,2019,3,MINAS GERAIS (BRA)
23.651072,0.015778147,17.176615,67.61013,2019,4,MINAS GERAIS (BRA)
22.755423,0.024526019,19.039713,79.63791,2020,1,MINAS GERAIS (BRA)
19.58204,0.0028047585,13.683675,68.82751,2020,2,MINAS GERAIS (BRA)
20.997568,0.0008899522,10.029674,50.027954,2020,3,MINAS GERAIS (BRA)
23.32255,0.01601982,16.774658,67.18667,2020,4,MINAS GERAIS (BRA)
22.952158,0.0151686,17.943686,73.526764,2021,1,MINAS GERAIS (BRA)
20.165232,0.0012336742,12.57489,61.719692,2021,2,MINAS GERAIS (BRA)
20.995127,0.00048017903,8.770569,45.683197,2021,3,MINAS GERAIS (BRA)
22.206686,0.020992909,17.223755,73.49027,2021,4,MINAS GERAIS (BRA)
22.666727,0.022296125,18.20288,76.23813,2022,1,MINAS GERAIS (BRA)
19.878357,0.002062619,12.461507,62.344555,2022,2,MINAS GERAIS (BRA)
20.33722,0.0012116379,9.8654175,51.057453,2022,3,MINAS GERAIS (BRA)
22.119568,0.007621224,16.493399,70.91746,2022,4,MINAS GERAIS (BRA)
